"","CSF1","CSF2","CSF3","WRF1","WRF2","WRF3"
"CG6012",123.654897336744,79.4614388973791,57.7324788000243,124.146387412948,32.8218511665199,124.807947968531
"CG6013",270.245783695625,213.437120759239,269.07458869297,216.778691867225,205.136569790749,292.896071442277
"CG6015",0,0,0,0,0,0
"CG6023",14.95825371009,12.9355830763175,8.24749697143204,12.4146387412948,6.15409709372248,6.0390942565418
"CG6026",20.9415551941259,6.46779153815877,15.4640568214351,19.0994442173767,8.20546279162997,27.1759241544381
"CG6028",1093.94695466458,1140.17925115542,1036.09180703615,1076.25368164917,1115.94293966168,1328.6007364392
"CG6034",0,0,2.06187424285801,0,6.15409709372248,4.02606283769454
"CG6040",714.007310428294,1190.99761324095,816.502200171772,789.762018388525,844.136984688933,621.020192714382
"CG6041",101.716125228612,159.846848014495,154.640568214351,213.913775234619,187.699961358536,93.605960976398
"CG6044",7.97773531204797,0,7.21655985000303,0.954972210868833,4.10273139581499,3.0195471282709
"CG6048",28.9192905061739,30.4910172513199,46.3921704643052,74.487832447769,43.0786796560574,21.1368298978963
"CG6051",0,0,0,0,0,0
"CG6052",1.99443382801199,0,2.06187424285801,0,0,0
"CG6055",1.99443382801199,16.6314639552654,2.06187424285801,0.954972210868833,4.10273139581499,8.05212567538907
"CG6059",0,0,39.1756106143022,0,1.02568284895375,3.0195471282709
"CG6066",53.8497133563238,33.2629279105308,44.3302962214472,48.7035827543105,60.515288088271,48.3127540523344
"CG6067",58.8357979263538,141.367443619756,85.5677810786074,137.515998365112,66.6693851819935,70.4560996596544
"CG6071",10.969386054066,11.0876426368436,10.30937121429,6.68480547608183,17.4366084322137,3.0195471282709
"CG6073",0,0,0,0,0,0
"CG6083",259.276397641559,208.817269660554,283.507708392976,282.671774417175,255.395029389483,159.029482088934
"CG6094",0,0,0,0,0,0
"CG6106",0,1.84794043947393,6.18562272857403,3.81988884347533,4.10273139581499,7.04560996596544
"CG6118",0,0,0,0,0,0
"CG6125",2.99165074201799,4.61985109868483,5.15468560714502,1.90994442173767,16.4109255832599,0
"CG6126",3634.85565155186,3778.11422850446,3523.74308104434,3023.44201961072,3161.15454047545,3568.09818990678
"CG6136",0,0,0,0,0,0
"CG6138",4.98608457002998,0,28.8662394000121,0,0,2.01303141884727
"CG6142",919.433994713529,1007.12753951329,904.131855493237,870.934656312376,1089.27518558888,1260.15766819839
"CG6144",0,0,0,0,0,0
"CG6149",0,0.923970219736966,0,0,3.07704854686124,0
"CG6153",0,0,0,0,0,0
"CG6154",84.7634376905097,88.7011410947488,110.310271992904,124.146387412948,77.9518965204847,97.6320238140925
"CG6163",0.997216914005997,0,4.12374848571602,0.954972210868833,0,0
"CG6168",3.98886765602399,0,0,0.954972210868833,1.02568284895375,0
"CG6171",0,0,0,0,0,0
"CG6178",929.406163853589,1292.63433741202,929.905283528963,1057.1542374318,1253.38444142148,1394.02425755173
"CG6179",51.8552795283118,87.7771708750118,93.8152780500395,84.9925267673261,99.4912363485134,93.605960976398
"CG6180",1439.98122382466,1362.85607411203,1253.61953965767,1236.68901307514,1362.10682341058,1607.40558794954
"CG6184",0,0,0,0,0,0
"CG6191",56.8413640983418,34.1868981302678,69.0727871357433,47.7486105434416,64.618019484086,68.4430682408071
"CG6195",324.095497051949,310.453993831621,273.198337178686,320.870662851928,338.475340154736,369.391265358474
"CG6204",293.181772717763,298.44238097504,317.528633400134,195.769303228111,260.523443634252,224.45300320147
"CG6209",0,0,31.9590507642992,0,1.02568284895375,2.01303141884727
"CG6216",3.98886765602399,9.23970219736966,11.3403083357191,7.63977768695066,13.3338770363987,13.0847042225072
"CG6220",0.997216914005997,8.3157319776327,5.15468560714502,0,0,0
"CG6225",1.99443382801199,2.7719106592109,5.15468560714502,3.81988884347533,4.10273139581499,3.0195471282709
"CG6230",416.836670054507,436.113943715848,605.160090278826,443.107105843138,445.146356445926,408.645378025995
"CG6231",78.7801362064737,89.6251113144857,58.7634159214533,100.272082141227,114.87647908282,55.3583640182999
"CG6236",0,0,0,0,0,0
"CG6244",0,1.84794043947393,0,2.8649166326065,1.02568284895375,1.00651570942363
"CG6254",207.421118113247,184.794043947393,201.032738678656,163.30024805857,177.443132868998,176.140249149136
"CG6262",0,0,0,0,0,0
"CG6271",0,0,0,0,0,0
"CG6276",331.076015449991,278.115036140827,272.167400057257,272.167080097617,320.013048873569,349.260951170001
"CG6277",0,1.84794043947393,0,16.2345275847702,1.02568284895375,1.00651570942363
"CG6280",64.8190994103898,37.8827790092156,62.8871644071693,30.5591107478026,17.4366084322137,43.2801755052163
"CG6282",8.97495222605397,18.4794043947393,3.09281136428701,1.90994442173767,4.10273139581499,1.00651570942363
"CG6283",0,1.84794043947393,0,27.6941941151962,8.20546279162997,1.00651570942363
"CG6287",1553.66395202134,1641.89508047259,1365.99168589343,1163.15615283824,1407.23686876454,1392.01122613289
"CG6290",8.97495222605397,11.0876426368436,7.21655985000303,17.189499795639,19.4879741301212,8.05212567538907
"CG6293",0,0,0,0,0,0
"CG6294",3.98886765602399,0,0,1.90994442173767,3.07704854686124,0
"CG6295",0,0,0,0,0,0
"CG6296",0,0,2.06187424285801,0,0,0
"CG6299",4.98608457002998,1.84794043947393,8.24749697143204,3.81988884347533,15.3852427343062,8.05212567538907
"CG6304",0,0,0,0,0,0
"CG6310",119.66602968072,129.355830763175,86.5987182000364,174.759914588996,153.852427343062,179.159796277407
"CG6321",464.703081926794,490.628186680329,443.302962214472,604.497409479971,510.790058778966,710.600090853086
"CG6324",0,0,0,0,0,0
"CG6325",185.482346005115,201.425507902659,183.506807614363,176.669859010734,228.727275316685,218.413908944929
"CG6329",520.54722911113,323.389576907938,505.159189500212,591.127798527807,471.814110518723,458.971163497177
"CG6330",237.337625533427,250.395929548718,276.291148542973,289.356579893256,241.03546950413,262.700600159568
"CG6333",4.98608457002998,5.5438213184218,12.3712454571481,3.81988884347533,5.12841424476873,1.00651570942363
"CG6337",20.9415551941259,0,0,0.954972210868833,0,3.0195471282709
"CG6340",69.8051839804198,57.2861536236919,71.1346613786013,91.677332243408,51.2841424476873,41.267144086369
"CG6345",153.571404756923,156.150967135547,146.393071242919,171.89499795639,124.107624723403,180.16631198683
"CG6356",666.140898556006,916.578457979071,710.315676664584,947.332433181882,869.779055912777,578.74653291859
"CG6357",1826.90138645899,1977.29627023711,1752.59310642931,2265.19408418087,2344.71099270826,2301.90142745185
"CG6362",36.8970258182219,32.3389576907938,19.5878053071511,18.1444720065078,20.5136569790749,54.3518483088762
"CG6380",0,0,0,0,0,0
"CG6398",0,0,0,0,0,0
"CG6403",0,0,0,0,0,0
"CG6409",0,0,3.09281136428701,1.90994442173767,4.10273139581499,6.0390942565418
"CG6414",0,0,0,0,0,0
"CG6415",384.925728806315,466.604960967168,323.714256128708,318.005746219321,317.961683175661,412.67144086369
"CG6418",321.103846309931,376.055879432945,301.033639457269,330.420384960616,334.372608758921,348.254435460577
"CG6420",20.9415551941259,14.7835235157915,13.4021825785771,30.5591107478026,17.4366084322137,31.2019869921326
"CG6421",4.98608457002998,19.4033746144763,8.24749697143204,18.1444720065078,20.5136569790749,1.00651570942363
"CG6424",11.966602968072,12.9355830763175,8.24749697143204,16.2345275847702,14.3595598853525,8.05212567538907
